node,Proportional,Uniform
1,1262.1273,1183.0631
2,1463.3152,1386.9790
3,888.7647,776.1613
4,568.6263,488.7495
5,1145.3333,1007.2479
6,1153.9684,1061.9043
7,1170.1129,1016.1241
8,597.5200,524.8114
9,1629.8949,1387.9386
10,957.7257,867.5134
11,651.3181,560.4934
12,950.7317,877.2400
13,1189.3406,1003.0000
14,716.7929,622.8580
15,753.9801,659.7578
16,1042.0540,940.9252
17,1088.3890,964.8678
18,1680.8890,1431.0293
19,2616.1695,2279.2061
20,1807.6004,1617.1477
21,1153.0586,1024.9802
22,554.5272,485.4545
23,2757.7174,2383.5883
24,6279.8575,5136.7488
25,1296.9723,1350.9601
26,297.5834,305.3362
27,842.3307,913.6204
28,90.6178,93.1925
29,793.5847,842.8314
30,207.1505,213.4359
31,335.6755,345.7559
32,661.1395,681.2281
33,1141.9226,1124.7878
34,920.7408,979.2514
35,445.2033,485.0634
36,255.5378,270.9727
37,116.1326,122.5796
38,384.9550,405.9837
39,630.9408,672.0321
40,478.6496,505.2506
41,278.8489,299.3020
42,307.5199,324.0072
43,126.5313,136.6218
44,224.2506,232.5400
45,514.4407,542.7946
46,650.2443,663.2802
47,929.1317,909.7974
48,206.6975,218.1647
49,367.6327,382.8882
50,603.8218,529.8086
51,958.2318,851.4073
52,990.0793,895.6923
53,600.6828,579.3689
54,815.0085,765.0882
55,399.1552,414.3440
56,553.7003,482.1559
57,636.2903,619.7820
58,429.8041,423.2801
59,228.1655,231.4566
60,677.4843,648.9762
61,1077.0620,1085.3846
62,225.1676,217.8372
63,408.2745,381.8978
64,650.9434,623.6416
65,1079.4363,1056.9189
66,571.8018,542.8414
67,734.3338,692.7284
68,371.4868,329.2623
69,934.4337,793.6220
70,1038.7891,941.0810
71,528.7756,509.3804
72,391.1825,348.8336
73,1990.3840,1729.6751
74,981.9543,970.7172
75,1404.0003,1132.1695
76,411.1263,380.9327
77,1140.5981,1004.5995
78,246.6152,194.9939
79,671.5578,637.4461
80,467.5951,432.5617
81,541.8536,444.3284
82,689.9290,603.6768
83,408.4902,320.6590
84,486.3864,387.8321
85,1154.5179,1048.6560
86,430.7765,333.6268
87,503.7175,433.9123
88,2966.6992,2674.1032
89,618.6710,560.2149
90,784.6181,637.1546
91,1351.5572,1230.5003
92,689.1991,592.9833
93,1293.8138,1043.3286
94,371.3452,328.5309
95,1188.0914,1044.4867
96,1366.4569,1075.9512
97,324.7977,287.1418
98,1219.7260,1044.9530
99,934.3866,819.0434
100,1664.3346,1545.6462
101,790.7807,672.4177
102,1320.5636,1129.8350
103,1451.0875,1189.8986
104,605.5747,520.7294
105,868.1712,747.1290
106,325.1448,279.7171
107,1307.5627,1087.8247
108,537.1091,452.9130
109,1505.0278,1314.3462
110,807.5283,682.6982
111,836.8006,756.6899
112,277.7666,240.2624
113,1095.0612,943.0755
114,588.8051,503.1882
115,391.2516,335.3688
116,338.7853,293.1164
117,1061.0331,873.7588
118,827.6482,683.0522
119,543.7456,453.1125
120,1480.8258,1244.7885
121,632.6405,523.2074
122,148.6089,125.5505
123,3174.4572,2700.8574
124,826.8325,681.1343
125,1018.3815,879.4007
126,1397.9016,1245.0538
127,568.5742,487.9395
128,911.9193,760.1120
129,285.0255,236.7792
130,1367.8790,1185.4646
131,714.3734,591.9993
132,256.6434,208.6951
133,1230.0314,1052.9759
134,198.4721,166.8514
135,2277.2245,1923.1914
136,947.6422,785.2700
137,186.0937,152.7956
138,775.2106,636.3943
139,409.8221,333.0294
140,1637.2949,1417.7359
141,944.7098,775.2596
142,1193.5024,1033.0490
143,3744.3717,3067.3727
144,3129.2152,2610.4928
145,919.7873,780.9409
146,867.2740,728.5405
147,1113.8510,911.6272
148,1049.9920,878.6645
149,304.0948,255.4148
150,2302.3986,1888.7014
151,336.4753,282.5855
152,883.5601,744.2741
153,2190.7547,1832.7950
154,371.3971,310.1201
155,2621.3579,2172.4794
156,671.9551,565.5230
157,1038.8662,847.5212
158,1868.6435,1568.9330
159,2447.3521,1950.0681
160,1069.7032,898.5133
161,775.3653,658.6740
162,1368.7759,1142.8679
163,1661.8487,1415.2481
164,171.6641,145.2825
165,1360.5156,1161.6231
166,857.2840,713.8139
167,921.0150,776.6433
168,3494.2667,2825.3510
169,1337.1623,1129.4532
