node,Proportional,Uniform
1,811.6352,1260.4626
2,1190.4963,1917.3355
3,500.5400,826.9401
4,407.9500,520.7250
5,506.6795,1073.1451
6,1240.8215,1625.4693
7,662.2102,1082.6020
8,267.1135,559.1461
9,1019.8903,1478.7417
10,575.3533,979.1552
11,398.5505,597.1626
12,1114.3827,1427.7155
13,743.4077,1068.6193
14,395.9534,663.6073
15,480.9623,702.9211
16,893.9080,1193.8684
17,1057.5056,1164.5101
18,1109.0810,1524.6515
19,1935.0508,2428.3185
20,2106.0906,2157.9918
21,996.2535,1200.8271
22,774.3526,925.1072
23,1985.6211,2539.5298
24,4748.8738,6316.7823
25,1883.4140,1648.9730
26,345.7085,480.7232
27,1090.5394,1112.0723
28,118.8174,170.2261
29,1099.4636,1049.9443
30,156.6925,270.1193
31,114.8345,368.3763
32,365.8297,754.3447
33,784.7522,1240.5864
34,921.8400,1043.3170
35,446.1781,689.1549
36,561.1066,453.4606
37,167.1116,174.1245
38,378.1575,490.2669
39,549.4780,832.8905
40,443.5786,538.3056
41,184.1306,318.8833
42,263.5718,345.2047
43,127.5272,189.2017
44,468.7852,467.6752
45,432.2455,636.1498
46,574.1614,706.6740
47,714.6145,969.3191
48,133.9234,232.4377
49,267.7356,407.9379
50,426.8419,564.4703
51,601.4426,907.1089
52,638.9699,954.2912
53,360.0620,617.2729
54,491.1205,815.1425
55,422.2053,592.8528
56,410.3203,513.7000
57,577.4481,660.3300
58,354.0477,450.9723
59,192.5979,246.5992
60,554.4180,691.4341
61,724.5573,1156.3937
62,173.2100,232.0887
63,179.0945,406.8827
64,524.9184,664.4421
65,988.3838,1126.0657
66,206.4986,578.3557
67,485.2134,738.0487
68,163.2336,350.8036
69,568.8377,845.5431
70,974.1141,1002.6493
71,341.3352,542.7056
72,180.2360,371.6553
73,1237.1682,1842.8356
74,789.9969,1309.1337
75,742.1740,1206.2394
76,239.0664,405.8544
77,848.9546,1070.3234
78,123.5208,207.7510
79,379.7727,679.1497
80,278.8953,460.8611
81,255.7497,473.3976
82,621.2115,643.1711
83,192.1740,341.6375
84,222.4630,413.2052
85,738.8811,1117.2622
86,216.2208,355.4536
87,386.3835,462.3002
88,2617.9811,2849.0510
89,475.8672,596.8659
90,210.6611,678.8392
91,709.0994,1311.0033
92,361.0525,631.7780
93,373.6979,1111.5863
94,336.1363,350.0244
95,1011.6720,1112.8201
96,547.9716,1146.3431
97,303.4523,305.9275
98,768.3512,1113.3169
99,824.6738,872.6276
100,1637.0190,1736.6931
101,307.8258,716.4093
102,1173.5145,1203.7522
103,609.9093,1267.7453
104,635.0624,554.7971
105,691.2156,796.0084
106,90.8738,298.0171
107,1055.5011,1158.9934
108,527.9786,482.5439
109,1067.3893,1400.3347
110,764.6253,727.3624
111,538.0338,1000.5247
112,186.5053,255.9811
113,712.0768,1004.7743
114,389.0059,536.1082
115,117.1495,357.3096
116,230.4248,312.2930
117,427.9115,930.9227
118,370.8273,727.7396
119,549.8911,482.7565
120,1267.6782,1326.2262
121,614.1190,557.4372
122,57.6613,133.7644
123,2350.0948,2877.5555
124,407.4210,725.6962
125,589.4073,936.9337
126,1656.1907,2042.7404
127,375.1238,519.8620
128,626.5549,809.8408
129,190.7521,267.1018
130,1214.5555,1886.6294
131,687.8881,630.7296
132,192.8598,222.3485
133,835.5068,1121.8647
134,187.5387,237.0308
135,1473.2154,2049.0124
136,837.5493,836.6447
137,141.7074,177.5918
138,584.0076,678.0291
139,361.6437,413.9626
140,907.6858,1510.4884
141,1221.9822,1106.3578
142,751.5578,1100.6342
143,3107.8236,3268.0493
144,2484.7496,2781.2790
145,600.3172,832.0324
146,577.8133,776.2038
147,698.9529,971.2686
148,710.1466,936.1493
149,135.4232,272.1248
150,2187.9416,2424.5238
151,153.9411,301.0731
152,474.5226,792.9668
153,1290.1433,1952.7019
154,195.4211,330.4091
155,1464.8627,2314.6095
156,337.0700,602.5212
157,460.3270,902.9686
158,1102.3723,1671.5772
159,2319.2899,2665.1261
160,519.4868,957.2968
161,396.2961,701.7665
162,641.6703,1217.6377
163,903.6699,1507.8378
164,89.3731,154.7873
165,736.0694,1237.6199
166,428.0212,760.5138
167,489.9766,827.4536
168,2519.0125,3010.1939
169,640.9988,1203.3455
170,746.9562,1272.5382
171,659.1002,902.9951
172,1220.8538,1499.6450
173,672.1276,969.6152
174,1384.9926,2935.6334
175,334.7893,465.7526
176,1123.6563,1493.4188
177,1119.7173,1415.7192
178,1367.5194,2572.9578
179,2165.6931,2994.3470
180,1956.9942,2203.9330
181,615.9949,1023.6867
182,632.2263,1012.8959
183,640.9827,769.5640
184,614.0144,1164.8500
185,2055.3416,2133.0246
186,357.5493,405.7492
187,449.5797,891.7007
188,1206.9509,2040.8078
189,1826.3388,2724.3279
190,2286.5419,3645.9917
191,491.7801,1086.7147
192,552.7423,694.2902
193,189.5628,467.1159
194,1089.0699,2789.4806
195,1044.0373,2576.5898
196,1309.1971,2114.6522
197,748.5429,1231.5230
198,132.4851,231.1265
199,975.6965,2039.3462
200,394.2797,748.5426
201,1014.5370,1789.7458
202,3312.6179,4698.1954
203,937.5778,2054.1879
204,578.9476,1448.2445
205,389.1609,1087.4979
206,226.9023,552.1801
207,3052.8457,4693.4972
208,599.3594,1278.6627
209,1835.6286,3357.0746
210,506.5814,1070.2374
211,701.5987,1555.6279
212,601.8011,1265.1204
213,1041.5089,1583.7095
214,1273.7045,1661.6153
215,829.0513,1325.6460
216,923.2684,986.3091
217,2295.2403,1373.6630
218,1847.8682,1068.9999
219,1374.6970,750.3344
220,408.1311,392.9867
221,752.7323,693.7423
222,410.2880,424.0043
223,2295.6082,1561.0948
224,860.4730,864.6264
225,399.3074,408.3791
226,779.8733,790.8781
227,856.7277,770.5646
228,400.2204,473.6209
229,777.6127,690.8419
230,758.2475,821.6534
231,1333.8089,838.4229
232,964.6240,889.3565
233,378.6162,533.7386
234,432.5248,596.0985
235,2355.5617,1342.8593
236,961.3277,887.2178
237,783.2350,895.5040
238,566.6422,494.3167
239,700.3075,741.5624
240,872.4811,1132.2419
241,331.2211,444.7531
242,2766.4093,1485.2594
243,603.9464,823.4020
244,189.0343,276.7071
245,303.5230,269.1670
246,395.5089,343.2011
247,642.2518,648.8967
248,1160.2157,742.6540
249,242.8073,287.5783
250,5281.4839,2896.8439
251,103.7474,136.0423
252,557.7438,697.7436
253,618.1987,614.8677
254,465.8820,628.9827
255,280.0254,353.5656
256,295.4662,347.7034
257,333.6527,461.7864
258,315.8482,358.5068
259,411.6100,562.7533
260,595.7804,616.8130
261,201.5125,239.4231
262,354.9944,457.3190
263,440.1888,647.6776
264,273.6033,346.8182
265,800.6600,759.5758
266,3182.1118,2183.0691
267,364.5272,471.2416
268,315.9433,360.0795
269,1678.1309,1365.1624
270,442.8251,548.6593
271,331.3444,409.7481
272,354.0178,437.9416
273,335.5648,648.9344
274,177.2325,225.9176
275,260.3431,300.3684
276,409.1556,418.3606
277,369.5502,404.3405
278,625.0556,844.1142
279,361.6000,408.9973
280,137.6037,225.9918
281,542.7694,755.1225
282,137.5262,180.4433
283,1434.4140,1697.5684
284,306.3968,396.2875
285,428.8282,469.6718
286,261.2956,571.0357
287,387.1866,538.0826
288,2062.2234,1174.2485
289,509.3469,589.4322
290,445.5576,579.6694
291,224.8220,255.4968
292,104.4410,135.4578
293,128.9991,180.6799
294,1261.7737,1179.1296
295,1592.2404,1452.1516
296,493.5522,648.3229
297,636.2815,659.6548
298,549.9857,659.5302
299,409.4332,230.9735
300,1544.3646,1099.7777
301,387.8181,585.1393
302,406.8982,486.5914
303,1018.4906,730.0224
304,514.0848,607.0314
305,1755.3654,1547.6069
306,957.4768,515.8398
307,489.9204,302.0096
308,253.4293,338.0398
309,2016.8779,1541.5734
310,1055.1256,823.2947
311,481.2721,609.2220
312,177.0493,323.5415
313,458.1602,544.8890
314,778.7873,765.5349
315,179.5970,339.5022
316,246.6156,368.7564
317,317.7345,410.4652
318,1073.3454,1174.5613
319,646.7220,889.2074
320,374.4120,438.0836
321,686.4265,686.6901
322,137.5261,262.0388
323,362.8472,553.7201
324,704.4737,705.4625
325,976.3291,1191.3644
326,572.9584,712.6406
327,126.8152,324.0150
328,1285.6000,1293.7460
329,409.3881,482.7555
330,2698.8930,1680.3438
331,344.3673,358.0140
332,1609.7080,1716.1175
333,517.6111,587.1189
334,899.0041,1162.9148
335,468.2379,529.4046
336,239.9416,431.2328
337,795.6550,822.4219
338,1428.0424,1432.9695
339,680.6830,838.4564
340,518.3425,622.2456
341,1693.9484,1269.9209
342,306.7027,380.2559
343,874.8777,1101.3446
344,125.0094,354.5740
345,2331.1590,1972.6064
346,624.8397,1028.0430
347,435.6746,571.9376
348,686.0038,814.9668
349,364.0554,471.6289
350,254.4018,507.5937
351,1306.8032,1340.1086
352,419.9776,676.3186
353,2167.5482,1790.7480
354,495.4411,689.7327
355,352.1330,419.0485
356,353.3394,645.3573
357,1009.7170,1240.2581
358,467.7641,592.5848
359,440.3493,492.5946
360,533.9661,764.0416
361,1188.2107,1481.5834
362,535.8344,586.0099
363,514.2321,827.8319
364,643.9865,853.2936
365,295.1618,412.1720
366,674.2525,866.9748
367,744.5620,955.8492
368,3828.3173,2755.8966
369,535.8164,557.6783
370,755.1455,923.0813
371,572.9651,841.3232
372,612.4364,771.8661
373,915.9750,983.8308
374,905.8497,1306.1000
375,600.1595,619.1142
376,387.5517,767.4444
377,1020.1539,1049.7629
378,1196.8135,1598.4047
379,844.8065,1256.9657
380,530.6597,837.2089
381,337.4847,520.7926
382,557.1262,701.9972
383,958.3671,1209.6908
384,383.6046,596.3298
385,750.7463,737.0773
386,871.5642,1126.5175
387,204.9519,319.6126
388,1137.8463,1247.1160
389,286.7200,380.9823
390,682.5383,1063.2018
391,4197.7914,3457.9023
392,617.1408,923.6031
393,744.1063,848.9159
394,231.6226,443.3963
395,93.7670,322.1535
396,956.0546,1035.3934
397,79.9786,214.2390
398,1223.6260,1358.6224
399,762.2476,964.4740
400,540.2811,715.7737
401,478.1084,619.0202
402,401.7432,610.6528
403,1175.3134,1185.9202
404,44.7876,229.8472
405,587.4686,877.5277
406,32.8788,260.7338
407,133.3105,382.2012
408,671.0542,711.0928
409,3824.5623,3097.9251
410,128.6831,460.3805
411,497.5369,683.5056
412,656.7722,1000.6148
413,359.8925,405.0235
414,75.3664,459.0723
415,394.2444,450.9187
416,475.1392,700.0564
417,701.3190,823.4085
418,223.0010,427.2070
419,1128.0223,1209.2664
420,652.7857,692.3797
421,1070.2409,1298.6257
422,107.9964,228.8066
423,38.8997,382.9235
424,47.3692,291.5180
425,630.6328,890.3421
426,662.4184,750.2717
427,446.0524,563.4105
428,144.1076,473.3304
429,206.2527,506.5140
430,42.9099,168.5865
431,30.5872,153.1452
432,879.9661,1194.3685
433,1416.8583,1768.9150
434,69.6185,443.4639
435,894.6896,1094.4743
436,205.0850,472.8257
437,279.3457,319.2949
438,648.0244,737.2338
439,95.8064,367.2858
440,576.8010,713.5544
441,45.8317,213.8604
442,511.7237,563.0789
443,152.5590,536.0935
444,50.6440,198.7107
445,401.5322,570.6506
446,833.6698,879.3281
447,134.2871,244.0996
448,733.6043,1181.9965
449,318.7334,414.1786
450,680.8720,799.2523
451,3231.8494,3042.8603
452,191.3105,489.1081
453,551.5611,904.9866
454,399.3905,563.9587
455,788.6070,907.5935
456,622.6147,1117.7107
457,579.6343,735.5232
458,400.6868,651.1748
459,277.6541,301.6471
460,541.8503,531.9154
461,369.5419,365.1942
462,385.4944,533.8561
463,686.9011,1136.5222
464,406.3066,848.5250
465,1175.0831,1026.2586
466,558.0572,541.8293
467,545.9280,547.4716
468,1051.5541,863.4608
469,368.4364,1145.9955
470,400.1803,334.0648
471,397.6441,405.9252
472,705.1799,1094.1457
473,2341.2552,2659.7522
474,603.1981,1034.5665
475,552.3115,681.1449
476,615.7960,1103.4067
477,793.6235,1423.9937
478,617.3488,516.0445
479,755.5469,812.0679
480,432.1836,700.9758
481,201.9112,503.9812
482,165.4299,335.7276
483,390.7562,574.9632
484,509.1354,891.2860
485,875.4667,851.1690
486,471.9244,379.0130
487,128.1677,243.8148
488,1216.0151,1188.1850
489,876.7511,1011.2336
490,541.1365,953.1782
491,445.9920,1131.4811
492,1116.8743,1437.4959
493,270.1800,334.8505
494,534.3764,394.3512
495,1103.7997,1852.4678
496,521.8748,514.6041
497,303.7471,488.1364
498,289.8858,380.5517
499,295.1784,334.4271
500,861.8993,1640.1327
501,798.0469,770.6826
502,352.2854,273.2409
503,448.8397,715.9672
504,809.8937,1052.7788
505,561.9652,588.2813
506,680.5546,557.3357
507,942.2365,661.0685
508,1300.5270,832.9246
509,159.6872,238.7457
510,229.3976,243.1048
511,353.8424,463.0763
512,642.4180,614.2262
513,935.3622,1380.2010
514,315.2465,288.5740
515,1074.7564,1906.1112
516,280.9504,181.9430
517,525.8563,624.3793
518,517.6118,625.2989
519,796.4176,707.2693
520,601.1643,493.1376
521,416.0367,426.1290
522,626.8754,1340.1614
523,598.5124,404.8665
524,959.3746,643.5558
525,1219.7843,766.0075
526,467.0326,931.5699
527,818.7398,730.5270
528,511.3614,875.1390
529,312.4362,794.9460
530,352.8939,565.7394
531,218.3044,516.7181
532,2897.9721,1947.4600
533,823.3135,1014.4512
534,329.5638,335.3793
535,385.4227,395.7454
536,2953.4573,1771.5869
537,412.8960,473.0285
538,452.5671,535.0246
539,598.5843,562.0824
540,484.6107,566.3092
541,458.2645,503.4407
542,627.4288,575.3905
543,507.6881,532.6829
544,529.9737,536.8860
545,674.6018,667.7662
546,674.6875,700.5810
547,297.5867,397.9041
548,332.7518,413.7525
549,372.2833,397.2845
550,326.5589,350.9112
551,534.0745,614.1037
552,295.9758,382.4314
553,623.9894,827.7965
554,398.6390,521.3771
555,250.4867,351.0058
556,346.7949,397.9603
557,190.4856,558.0888
558,62.8210,200.9259
559,24.1986,77.2263
560,88.7900,387.0117
561,47.4099,138.8798
562,46.7789,216.5174
563,27.6024,92.6403
